year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2009,1,MA,Massachusetts,Obesity,Menu Labeling,Community,Lincoln Park Infrastructure Financing,Dead,H611,3,"(Abstract - Creates the Lincoln Park Infrastructure Financing District in the Town of Dartmouth. ), (BillHistory - 01/19/2009 - INTRODUCED.;01/19/2009 - Filed as House Docket 3826.;01/19/2009 - To JOINT Committee on MUNICIPALITIES AND REGIONAL GOVERNMENT.;10/27/2009 - In JOINT Committee on MUNICIPALITIES AND REGIONAL GOVERNMENT: Heard.  Eligible for Executive Session.;11/17/2009 - From JOINT Committee on MUNICIPALITIES AND REGIONAL GOVERNMENT:  Ought to pass.;11/23/2009 - To HOUSE Committee on STEERING, POLICY AND SCHEDULING.;12/07/2009 - From HOUSE Committee on STEERING, POLICY AND SCHEDULING. Reported for consideration by HOUSE.;12/07/2009 - In HOUSE. Rules suspended.;12/07/2009 - In HOUSE. Read second time.;12/07/2009 - In HOUSE.  Ordered to third reading.;07/14/2010 - Amended on HOUSE floor by substitution of New Draft.  For further action see H 4883.)",41,LEG,002OB,032MNL,002COM,263,"(42.27687047, -72.082690675)"
2011,1,MS,Mississippi,Nutrition,Access to Healthy Foods,School/After School,School Curriculum,Dead,H902,3,"(Abstract - Requires public school students to receive twenty hours per school year of healthy living instruction and to require the health education curriculum in the public schools to promote the making of healthy choices in nutrition, exercise and behavior. Establishes weekly requirements for physical activity-based instruction in schools. Requires each local school board to adopt a school wellness plan that shall promote increased physical activity, healthy eating habits, and abstinence from the use of tobacco and illegal drugs.   ), (BillHistory - 01/17/2011 - INTRODUCED.;01/17/2011 - To HOUSE Committee on EDUCATION.;02/01/2011 - Died in committee.)",1,LEG,001NUT,001AHF,004SAS,4170,"(32.745510099, -89.538030825)"
2010,1,WI,Wisconsin,Nutrition,Agriculture and Farming,Restaurant/Retail,Purchase of Food Produced in This State,Dead,A782,3,"(Abstract - Relates to encouraging the purchase of food produced in this state, creating goals and a preference in state procurement for food produced in this state, and creating a council. ), (BillHistory - 02/26/2010 - INTRODUCED.;02/26/2010 - To ASSEMBLY Committee on RURAL ECONOMIC DEVELOPMENT.;03/23/2010 - In ASSEMBLY. Substitute Amendment No. 1 offered.;04/07/2010 - In ASSEMBLY. Assembly Amendment No. 1 to Assembly Substitute Amendment No. 1 offered.;04/16/2010 - In ASSEMBLY. Assembly Amendment No. 1 to Assembly Substitute No. 1 Adopted.;04/16/2010 - From ASSEMBLY Committee on RURAL ECONOMIC DEVELOPMENT: Recommended as substituted. Substitute No. 1.;04/16/2010 - To ASSEMBLY Committee on RULES.;04/28/2010 - Failed to pass pursuant to Senate Joint Resolution 1.)",10,LEG,001NUT,017AGF,006RES,1871,"(44.393191174, -89.816370742)"
2009,1,CT,Connecticut,Obesity,Menu Labeling,Community,Preservation and Development,Dead,H6464,3,"(Abstract - Concerns coordinated preservation and development, ensures a coordinated investment approach consistent with smart growth throughout state government by establishing the Face of Connecticut Steering Committee as the clearinghouse for grant decisions regarding brownfield remediation, open space, farmland and historic assets.), (BillHistory - 02/13/2009 - INTRODUCED.;02/13/2009 - To JOINT Committee on PLANNING AND DEVELOPMENT.;03/20/2009 - From JOINT Committee on PLANNING AND DEVELOPMENT:  Reported with substitute.;03/23/2009 - Filed with Legislative Commissioner's Office.;04/02/2009 - Referred to Office of Legislative Research and Office of Fiscal Analysis.;04/08/2009 - Committee Substitute reported out of Legislative Commissioner's Office.;04/08/2009 - Reissued by Legislative Commissioner's Office with File No. 551.;04/21/2009 - To JOINT Committee on ENVIRONMENT.;04/24/2009 - From JOINT Committee on ENVIRONMENT:  Reported with substitute.;04/27/2009 - Filed with Legislative Commissioner's Office.;05/01/2009 - Referred to Office of Legislative Research and Office of Fiscal Analysis.;05/07/2009 - Committee Substitute reported out of Legislative Commissioner's Office.;05/07/2009 - Reissued by Legislative Commissioner's Office with File No. 916.)",41,LEG,002OB,032MNL,002COM,952,"(41.56266102, -72.649840952)"
2010,1,AL,Alabama,Nutrition,Appropriations,Restaurant/Retail,Constitutional Amendments,Dead,S225,3,"(Abstract - Proposes an amendment to the Constitution of Alabama of 1901, to eliminate the deductibility of federal income taxes from Alabama gross income for individual taxpayers, increases individual income tax standard deductions, personal exemptions, and dependent exemptions, removes the state sales tax on food items. ), (BillHistory - 01/12/2010 - INTRODUCED.;01/12/2010 - To SENATE Committee on FINANCE AND TAXATION EDUCATION.)",2,LEG,001NUT,002APP,006RES,2428,"(32.840571122, -86.631860762)"
2004,1,CT,Connecticut,Nutrition,Farm Direct Foods,School/After School,An Act Concerning the Preservation of the Family Farm and Long Island Sound<br>,Enacted,S589,1,"(Abstract - Requires the state Commissioner of Administrative Services, when purchasing agricultural products, to give preference to state-grown products. Requires the Commissioner of Agriculture to establish and administer a program, within available resources, to certify grocery and food stores as 'Connecticut Farm Fresh Markets' and promote restaurants, and schools in the state that serve farm products grown or produced in the state. Establishes the grow Connecticut agriculture account.), (BillHistory - 03/05/2004 INTRODUCED; 03/05/2004 To JOINT Committee on ENVIRONMENT; 03/17/2004 From JOINT Committee on ENVIRONMENT: Reported with substitute; 03/17/2004 Filed with Legislative Commissioner's Office; 03/25/2004 Referred to Office of Legislative Research and Office of Fiscal Analysis; 03/31/2004 Committee Substitute reported out of Legislative Commissioner's Office; 03/31/2004 Reissued by Legislative Commissioner's Office with File No. 388; 04/06/2004 Rules suspended; 04/06/2004 To JOINT Committee on PLANNING AND DEVELOPMENT; 04/07/2004 From JOINT Committee on PLANNING AND DEVELOPMENT: Reported favorably; 04/08/2004 Reported out of Legislative Commissioner's Office; 04/14/2004 To JOINT Committee on APPROPRIATIONS; 04/20/2004 From JOINT Committee on APPROPRIATIONS: Reported favorably; 04/21/2004 Filed with Legislative Commissioner's Office; 04/21/2004 Reported out of Legislative Commissioner's Office; 04/22/2004 To JOINT Committee on FINANCE, REVENUE AND BONDING; 04/27/2004 From JOINT Committee on FINANCE, REVENUE AND BONDING: Reported favorably; 04/27/2004 Filed with Legislative Commissioner's Office; 04/27/2004 Reported out of Legislative Commissioner's Office; 04/29/2004 SENATE adopted SENATE amendment Schedule A; 04/29/2004 Passed SENATE. *****To HOUSE; 05/04/2004 To JOINT Committee on ENERGY AND TECHNOLOGY; 05/04/2004 Filed with Legislative Commissioner's Office; 05/04/2004 Reported out of Legislative Commissioner's Office; 05/04/2004 From JOINT Committee on ENERGY AND TECHNOLOGY: Reported favorably; 05/05/2004 HOUSE adopted SENATE amendment Schedule A; 05/05/2004 Passed HOUSE; 05/19/2004 Enrolled PUBLIC ACT No. 04-222; 06/08/2004 Signed by GOVERNOR; 06/08/2004 Public Act No. 04- 222)",8,LEG,001NUT,015FDF,004SAS,5647,"(41.56266102, -72.649840952)"
2013,1,TX,Texas,Nutrition,Appropriations,Community,An Act Relating to the Establishment of a Community Development Grocery Store Revolving Loan Fund Program,Introduced,HB3616,0,"(Abstract - Allows funds from the Community Development Financial Institution to be used for grocery stores located in food deserts, and that accepts benefits under the WIC program and the Supplemental Nutrition Assistance Program.), (BillHistory - 03/08/2013 INTRODUCED.03/21/2013 To HOUSE Committee on AGRICULTURE AND LIVESTOCK.)",2,LEG,001NUT,002APP,002COM,6678,"(31.827240407, -99.426770206)"
2012,1,HI,Hawaii,Physical Activity,Signage for Recreation and Transportation,Community,An Act Relating to Transit<br>,Dead,S2959,3,"(Abstract - Requires counties to use specified surcharges for transit enhancements projects designed to enhance public transportation service including transit connections to parks within the transit service area and signage.), (BillHistory - 01/24/2012 INTRODUCED; 01/27/2012 To SENATE Committee on TRANSPORTATION AND INTERNATIONAL AFFAIRS; 01/27/2012 Additionally referred to SENATE Committee on PUBLIC SAFETY, GOVERNMENT OPERATIONS AND MILITARY AFFAIRS; 01/27/2012 Subsequent referral set for: SENATE Committee on WAYS AND MEANS; 01/27/2012 In Committee: Public Hearing Scheduled; 02/01/2012 In SENATE Committee on TRANSPORTATION AND INTERNATIONAL AFFAIRS: Voted do pass with amendment; 02/01/2012 In SENATE Committee on PUBLIC SAFETY, GOVERNMENT OPERATIONS AND MILITARY AFFAIRS: Voted do pass with amendment; 02/07/2012 From SENATE Committee on TRANSPORTATION AND INTERNATIONAL AFFAIRS: Do pass as amended; 02/07/2012 From SENATE Committee on PUBLIC SAFETY, GOVERNMENT OPERATIONS AND MILITARY AFFAIRS: Do pass as amended; 02/07/2012 In SENATE. Read second time. Committee amendment adopted. Senate Draft 1; 02/07/2012 To SENATE Committee on WAYS AND MEANS.)",66,LEG,003PA,044SRT,002COM,5719,"(21.304850435, -157.857749403)"
2011,1,ME,Maine,Nutrition,Nutrition Standards,School/After School,School Lunch Program Standards,Enacted,H398,1,"(Abstract - Amends the law to allow the Department of Education to adopt rules that are consistent with federal school nutrition standards regarding standards for food and beverages sold or distributed on school grounds but outside of school meal programs, exempts products prepared in culinary arts programs provided by career and technical schools and programs from the requirements of the rules. These standards must include maximum portion sizes, except for portion sizes for milk, that are consistent with federal school nutrition standards.   ), (BillHistory - 02/10/2011 - INTRODUCED.;02/10/2011 - Filed as LR 244;02/15/2011 - HOUSE refers to JOINT Committee on EDUCATION AND CULTURAL AFFAIRS.;02/17/2011 - SENATE refers to JOINT Committee on EDUCATION AND CULTURAL AFFAIRS in concurrence.;05/19/2011 - From JOINT Committee on EDUCATION AND CULTURAL AFFAIRS:  with divided report.;05/23/2011 - HOUSE accepts Committee Report.;05/23/2011 - In HOUSE. Committee Amendment A adopted.;05/23/2011 - In HOUSE. Engrossed as amended by Committee Amendment A.;05/24/2011 - SENATE accepts Committee Report.;05/24/2011 - In SENATE. Committee Amendment A adopted.;05/25/2011 - In SENATE. Engrossed as amended by Committee Amendment A.;05/26/2011 - In HOUSE. Passed to be enacted.;05/26/2011 - In SENATE. Passed to be enacted in concurrence.;05/26/2011 - Eligible for GOVERNOR'S desk.;06/06/2011 - Signed by GOVERNOR.;06/06/2011 - Public Law No. 2011-224)",6,LEG,001NUT,010NUS,004SAS,3944,"(45.254228894001, -68.985031336)"
2015,1,MN,Minnesota,Physical Activity,Safe Routes to Schools,School/After School,The Active Transportation Competitive Grant Program,Introduced,HB600,0,"(Abstract - ""Creates The Active Transportation Competitive Grant Program, which requires the Commissioner of Transportation to establish a criteria for grant awards for bicycle paths, pedestrian trails, and safe routes to school infrastructure programs.""), (BillHistory - 02/05/2015 INTRODUCED.02/05/2015 To HOUSE Committee on TRANSPORTATION POLICY AND FINANCE.)",64,LEG,003PA,041SRS,004SAS,6921,"(46.355648736, -94.794200503)"
2009,1,NY,New York,Nutrition,Farm Direct Foods,School/After School,Health and Mental Hygiene Budget,Enacted,A154,1,"(Abstract - Makes appropriations for the support of government - Health and Mental Hygiene Budget, relates to local property taxation and county tax levies.), (BillHistory - 12/19/2008 - PREFILED.;12/19/2008 - To ASSEMBLY Committee on WAYS AND MEANS.;01/07/2009 - INTRODUCED.;01/07/2009 - To ASSEMBLY Committee on WAYS AND MEANS.;01/27/2009 - Amended in ASSEMBLY Committee on WAYS AND MEANS.;03/28/2009 - Amended in ASSEMBLY Committee on WAYS AND MEANS.;03/28/2009 - Amended in ASSEMBLY Committee on WAYS AND MEANS.;03/31/2009 - From ASSEMBLY Committee on WAYS AND MEANS.;03/31/2009 - To ASSEMBLY Committee on RULES.;03/31/2009 - From ASSEMBLY Committee on RULES.;03/31/2009 - Passed ASSEMBLY.  *****To SENATE.;03/31/2009 - To SENATE Committee on FINANCE.;03/31/2009 - From SENATE Committee on FINANCE.;03/31/2009 - Substituted for  S 54.;04/02/2009 - Passed SENATE.;04/03/2009 - *****To GOVERNOR.;04/07/2009 - Signed by GOVERNOR.;04/07/2009 - Chapter No. 54)",8,LEG,001NUT,015FDF,004SAS,2272,"(42.827001032, -75.543970427)"
2011,1,VT,Vermont,Nutrition,Access to Healthy Foods,Restaurant/Retail,Blue Ribbon Tax Structure Commission,Dead,H243,3,"(Abstract - Proposes to begin the tax reform process recommended by the Vermont Blue Ribbon Tax Structure Commission for creating transparency in Vermont's tax system by providing for a high level of ongoing scrutiny of the multiple exemptions embedded in Vermont's major tax structures, implemented by an initial, prospective sunset of nearly all tax incentives in the personal income tax, sales tax, meals and rooms tax, and property tax. Exempts sales of food, food stamps, purchases made with food stamps, food products, and beverages sold for human consumption off the premises where sold, but not including dietary supplements or soft drinks.   ), (BillHistory - 02/14/2011 - INTRODUCED.;02/15/2011 - In HOUSE. Read first time and placed on calendar.;02/15/2011 - To HOUSE Committee on WAYS AND MEANS.)",1,LEG,001NUT,001AHF,006RES,4700,"(43.625381239, -72.517640791)"
2011,1,TX,Texas,Obesity,Liability and Indemnity,Restaurant/Retail,Interagency Obesity Council,Dead,S1454,3,"(Abstract - Relates to the membership and duties of the interagency obesity council. The council shall develop recommendations for: a financing program to bring fresh food retailers into areas that are underserved, the availability of locally grown food products in child care programs and public schools, the feasibility of tax incentives for employers who promote activities designed to reduce obesity in the workforce, the feasibility of financial incentives to encourage recipients of benefits under a nutritional assistance program to purchase more fresh fruits and vegetables and other healthy foods.   ), (BillHistory - 03/10/2011 - INTRODUCED.;03/22/2011 - To SENATE Committee on HEALTH AND HUMAN SERVICES.;04/26/2011 - Considered in public hearing.;04/26/2011 - Left pending in committee.)",39,LEG,002OB,030LAI,006RES,4667,"(31.827240407, -99.426770206)"
2010,1,FL,Florida,Nutrition,Point of Purchase Promotion,Restaurant/Retail,Public Food Service Establishments,Dead,H847,3,"(Abstract - Relates to public food service establishments, requires public food service establishments to serve sugar free substitutes for certain syrups and fruit preserves and provide notice to guests of availability of such sugar free substitutes, provides requirements for such notice. ), (BillHistory - 02/01/2010 - PREFILED.;02/10/2010 - To HOUSE Committee on INSURANCE, BUSINESS AND FINANCIAL AFFAIRS POLICY.;02/10/2010 - Referred to HOUSE POLICY COUNCIL.;02/10/2010 - Referred to HOUSE Council on GENERAL GOVERNMENT POLICY.;03/02/2010 - INTRODUCED.;03/02/2010 - To HOUSE Committee on INSURANCE, BUSINESS AND FINANCIAL AFFAIRS POLICY.;03/02/2010 - Referred to HOUSE POLICY COUNCIL.;03/02/2010 - Referred to HOUSE Council on GENERAL GOVERNMENT POLICY.;04/30/2010 - In HOUSE.  Died in committee.)",20,LEG,001NUT,037POP,006RES,2525,"(28.932040377, -81.928960539)"
2011,1,OK,Oklahoma,Nutrition,Appropriations,Restaurant/Retail,License Discounts For Healthy Restaurants,Dead,S677,3,"(Abstract - Relates to license discounts for healthy restaurants, directs the State Department of Health to offer specified license discount to certain restaurants, specifies criteria for certain discounts, directs the State Board of Health to promulgate certain rules, provides for codification, provides an effective date. The State Department of Health shall offer discounts on the annual food service establishment license fee to restaurants that take positive measures toward creating a healthy environment and providing healthier choices for their customers. Creates a tiered award system based on the degree to which an establishment institutes certain nutritional standards.  ), (BillHistory - 01/27/2011 - PREFILED.;02/07/2011 - INTRODUCED.;02/08/2011 - To SENATE Committee on HEALTH AND HUMAN RESOURCES.;02/15/2011 - Withdrawn from SENATE Committee on HEALTH AND HUMAN SERVICES.;02/15/2011 - To SENATE Committee on APPROPRIATIONS.)",2,LEG,001NUT,002APP,006RES,4470,"(35.472031356, -97.521070214)"
2010,1,IN,Indiana,Nutrition,Farm Direct Foods,Community,Service Sign Program,Enacted,R104,1,"(Abstract - Increases the number of businesses that may participate in the specific service sign program on interstates and freeways. Updates the specific service sign program with respect to federal requirements. Relates to specific service signs on the interstate system of highways and other freeways that guide travelers to gas, food, lodging, camping and attractions, such as agritourism – a location where customers can interact with Indiana agricultural producers for the purposes of tours, recreation, and purchase of products.), (BillHistory - )",8,REG,001NUT,015FDF,002COM,3336,"(39.766910452, -86.149960194)"
2011,1,TX,Texas,Nutrition,Incentives,Community,Sweetened Beverages Tax,Dead,H2213,3,"(Abstract - Relates to the imposition of a tax on certain sweetened beverages and ingredients used to make certain sweetened beverages and to the use of certain revenue for the promotion of children's health programs, provides penalties. A tax is imposed on the manufacturer, distributor, wholesaler, or other person selling sweetened beverages, sweetened beverage syrup, or sweetened beverage powder.  Part of the money collected goes to implement school health programs, improve the school health environment, improve recreational facilities for physical education at schools, hire and train qualified Physical education teachers, implement Safe Routes to School programs, improve quality of food served at public schools, and ensure access to clean drinking water at school.   ), (BillHistory - 03/04/2011 - INTRODUCED.;03/10/2011 - To HOUSE Committee on WAYS AND MEANS.)",17,LEG,001NUT,029INC,002COM,4612,"(31.827240407, -99.426770206)"
2011,1,TX,Texas,Obesity,Appropriations,School/After School,Coordinated Health Program,Dead,H2796,3,"(Abstract - Relates to repeal of the coordinated health program for public primary and secondary schools. The local school health advisory council's duties include recommending the number of hours of instruction to be provided in health education and curriculum appropriate for specific grade levels designed to prevent obesity, cardiovascular disease, and Type 2 diabetes through coordination of health education, physical education and activity, nutrition services, parental involvement, and instruction to prevent the use of tobacco.   ), (BillHistory - 03/09/2011 - INTRODUCED.;03/16/2011 - To HOUSE Committee on PUBLIC EDUCATION.)",28,LEG,002OB,002APP,004SAS,4619,"(31.827240407, -99.426770206)"
2011,1,MN,Minnesota,Nutrition,Medical Care,Community,Taxation,Dead,H1749,3,"(Abstract - Relates to taxation, local taxes authorized, city of Proctor. The proceeds of the taxes must be used by the city to fund: operational costs of the Proctor recreation center, golf course, community center, and the South St. Louis County fairgrounds, and construction and improvement of walking and bicycle trails and a multiuse civic center facility, parking improvements, festival and event coordination, and improvements related to the redevelopment and realignment of a road through the fairgrounds property recently ceded to the city of Proctor by the city of Duluth.   ), (BillHistory - 05/21/2011 - INTRODUCED.;05/21/2011 - To HOUSE Committee on TAXES.)",16,LEG,001NUT,026MEC,002COM,4121,"(46.355648736, -94.794200503)"
2009,1,MD,Maryland,Nutrition,Food Security,Restaurant/Retail,Public Health,Dead,H601,3,"(Abstract - Requires chain restaurants to provide specified nutrition information for standard menu items, establishes how the nutrition information is to be determined, requires the nutrition information to be displayed in a specified manner, authorizes a local health department to enforce the Act, provides for civil penalties.), (BillHistory - 02/05/2009 - INTRODUCED.;02/06/2009 - To HOUSE Committee on HEALTH AND GOVERNMENT OPERATIONS.;03/27/2009 - From HOUSE Committee on HEALTH AND GOVERNMENT OPERATIONS:  Reported unfavorably.;03/27/2009 - Withdrawn from further consideration.)",14,LEG,001NUT,023FOS,006RES,2047,"(39.290580964, -76.609260111)"
2010,1,MS,Mississippi,Physical Activity,"Parks, Recreation and Trails",Community,Town of Como,Enacted,H1723,1,"(Abstract - Authorizes the governing authorities of the Town of Como to levy a tax upon hotels and motels derived from room rentals and upon the gross proceeds of sales of food and beverages at restaurants, provides that the revenue from the tax shall be expended by the Town of Como to promote tourism and parks and recreation. ), (BillHistory - 03/01/2010 - INTRODUCED.;03/01/2010 - To HOUSE Committee on LOCAL AND PRIVATE LEGISLATION.;03/24/2010 - From HOUSE Committee on LOCAL AND PRIVATE LEGISLATION:  Do pass.;03/24/2010 - To HOUSE Committee on WAYS AND MEANS.;03/27/2010 - From HOUSE Committee on WAYS AND MEANS:  Do pass.;03/27/2010 - To HOUSE Committee on LOCAL AND PRIVATE LEGISLATION.;03/27/2010 - From HOUSE Committee on LOCAL AND PRIVATE LEGISLATION:  Do pass.;03/27/2010 - Passed HOUSE.  *****To SENATE.;04/21/2010 - To SENATE Committee on LOCAL AND PRIVATE.;04/22/2010 - From SENATE Committee on LOCAL AND PRIVATE:  Do pass.;04/22/2010 - To SENATE Committee on FINANCE.;04/23/2010 - From SENATE Committee on FINANCE:  Do pass as amended.;04/23/2010 - Committee amendment adopted on SENATE floor.;04/23/2010 - Passed SENATE.  *****To HOUSE for concurrence.;04/23/2010 - HOUSE concurred in SENATE amendments.;04/29/2010 - Eligible for GOVERNOR'S desk.;05/04/2010 - *****To GOVERNOR.;05/21/2010 - Signed by GOVERNOR.;06/01/2010 - Chapter No. 940.)",59,LEG,003PA,034PRT,002COM,2875,"(32.745510099, -89.538030825)"
2009,1,GA,Georgia,Nutrition,Fruits and Vegetables,School/After School,Elementary and Secondary Education,Dead,H698,3,"(Abstract - Relates to elementary and secondary education, prohibits the use of genetically modified foods or processed foods made therefrom in public school breakfast and lunch programs, encourages the use of locally grown foods in such programs to the greatest extent practicable and consistent with nutritional requirements, defines a term, repeals conflicting Laws.), (BillHistory - 03/06/2009 - INTRODUCED.;03/09/2009 - To HOUSE Committee on AGRICULTURE AND CONSUMER AFFAIRS.)",15,LEG,001NUT,025FAV,004SAS,1681,"(32.839681093, -83.627580346)"
2010,1,PA,Pennsylvania,Nutrition,School Nutrition,School/After School,School Foods Reform,Dead,S1419,3,"(Abstract - Amends the Education Code. Further provides for school foods reform. Imposes duties on schools relating to the sale of food and beverages, and on the Department of Education and the Department of Health. ), (BillHistory - 06/23/2010 - INTRODUCED.;06/23/2010 - To SENATE Committee on EDUCATION.)",21,LEG,001NUT,043SNU,004SAS,3139,"(40.793730152, -77.860700294)"
2010,1,IA,Iowa,Nutrition,Nutrition Standards,Medical and/or Hospital,Hospitals,Enacted,R9121,1,"(Abstract - Updates the Department's administrative rules dealing with food services provided in hospitals by adopting the Iowa food code, which will bring hospital food service requirements into conformance with all other food establishments requirements. ), (BillHistory - )",6,REG,001NUT,010NUS,003MED,3325,"(42.469400913, -93.816490556)"
2011,1,CA,California,Nutrition,Access to Healthy Foods,School/After School,An Act Related to Pupil Nutrition<br>,Dead,A909,3,"(Abstract - Encourages school districts to buy fresh produce from state producers.  Allows school districts to apply for state funding in the Farm-to-School Program if percentage of fresh produce for use in school meal programs are from state producers. ), (BillHistory - 02/17/2011 INTRODUCED; 12/08/2011 To ASSEMBLY Committees on EDUCATION and AGRICULTURE; 01/04/2012 From ASSEMBLY Committee on EDUCATION with author's amendments; 01/04/2012 In ASSEMBLY. Read second time and amended.  Re-referred to Committee on EDUCATION; 01/05/2012 From ASSEMBLY Committee on EDUCATION: Do pass to Committee on AGRICULTURE; 01/09/2012 From ASSEMBLY Committee on AGRICULTURE with author's amendments; 01/09/2012 In ASSEMBLY. Read second time and amended. Re-referred to Committee on AGRICULTURE; 01/11/2012 From ASSEMBLY Committee on AGRICULTURE: Do pass to Committee on APPROPRIATIONS; 01/12/2012 From ASSEMBLY Committee on APPROPRIATIONS with author's amendments; 01/12/2012 In ASSEMBLY. Read second time and amended. Re-referred to Committee on APPROPRIATIONS; 01/19/2012 In ASSEMBLY Committee on APPROPRIATIONS: To Suspense File; 01/19/2012 In ASSEMBLY Committee on APPROPRIATIONS: Held in committee; 02/01/2012 Died pursuant to Art. IV, Sec. 10(c) of the Constitution; 02/01/2012 From Committee: Filed with the Chief Clerk pursuant to JR 56.)",1,LEG,001NUT,001AHF,004SAS,5952,"(37.638640123, -120.999999538)"
2011,1,NC,North Carolina,Obesity,Task Forces/Councils,School/After School,Local Schools and Fitness Testing,Dead,S400,3,"(Abstract - Requires the state Board of Education to report on the results of fitness testing in each local school administrative unit. The State Board of Education shall report on the results of fitness testing to the Legislative Task Force on Childhood Obesity annually by September 15.   ), (BillHistory - 03/22/2011 - FILED.;03/23/2011 - INTRODUCED.;03/23/2011 - To SENATE Committee on RULES AND OPERATIONS OF THE SENATE.)",44,LEG,002OB,047TFC,004SAS,4444,"(35.466220975, -79.159250463)"
2009,1,MD,Maryland,Nutrition,Incentives,Work Place,State Employee and Retiree Benefits,Dead,H818,3,"(Abstract - Requires the Secretary of Budget and Management to designate a wellness coordinator to create and develop a wellness program, authorizes the wellness program to include specified initiatives, requires the wellness coordinator to take specified actions, requires each State agency to designate an employee to serve as a wellness liaison, authorizes the Department of Budget and Management to seek, through a request for proposals.), (BillHistory - 02/11/2009 - INTRODUCED.;02/11/2009 - To HOUSE Committee on APPROPRIATIONS.)",17,LEG,001NUT,029INC,005WKP,2050,"(39.290580964, -76.609260111)"
2010,1,CA,California,Obesity,Incentives,Community,Taxation: Sweetened Beverage Tax: Childrens Health Fund,Dead,S1210,3,"(Abstract - Imposes a tax on every distributor on added caloric sweetener or concentrate in bottled sweetened beverages sold or offered for sale to a retailer in the state, or on a retailer who sells such beverages or concentrate in the state to consumers on which the tax has not been paid by the distributor. Provides a specified exemption. Requires tax moneys to be placed in the Children's Health Promotion Fund for grants to eligible school districts for childhood obesity prevention activities and programs. ), (BillHistory - 02/18/2010 - INTRODUCED.;03/04/2010 - To SENATE Committee on REVENUE AND TAXATION.;04/14/2010 - From SENATE Committee on REVENUE AND TAXATION with author's amendments.;04/14/2010 - In SENATE.  Read second time and amended. Re-referred to Committee on REVENUE AND TAXATION.;05/05/2010 - From SENATE Committee on REVENUE AND TAXATION with author's amendments.;05/05/2010 - In SENATE.  Read second time and amended. Re-referred to Committee on REVENUE AND TAXATION.;05/12/2010 - In SENATE Committee on REVENUE AND TAXATION: To Suspense File.)",38,LEG,002OB,029INC,002COM,82,"(37.638640123, -120.999999538)"
2011,1,NY,New York,Obesity,Disparities/Equity,Work Place,Governors Council on Physical Fitness,Dead,A7323,3,"(Abstract - Creates the New York state governor's council on physical fitness, sports and health, establishes the membership of such council, creates the New York state governor's council on physical fitness, sports and health fund. Duties of the council include, but aren't limited to: disseminating pertinent fitness information, sponsoring fitness workshops, advising companies on employee fitness programs, and diminishing physical fitness related disparities.  ), (BillHistory - 04/29/2011 - INTRODUCED.;04/29/2011 - To ASSEMBLY Committee on HEALTH.)",32,LEG,002OB,013DEQ,005WKP,4350,"(42.827001032, -75.543970427)"
2010,1,WV,West Virginia,Nutrition,Fruits and Vegetables,Restaurant/Retail,Tax Credits for the Sale of Locally Grown Produce,Dead,H3096,3,"(Abstract - Provides tax credits for the sale of locally grown produce. ), (BillHistory - 01/06/2010 - PREFILED.;01/13/2010 - INTRODUCED.;01/13/2010 - To HOUSE Committee on AGRICULTURE.)",15,LEG,001NUT,025FAV,006RES,3262,"(38.665510202, -80.712640135)"
2001,1,DE,Delaware,Nutrition,Access to Healthy Foods,School/After School,School Breakfast and Lunch Programs,Enacted,HCR37,1,"(Abstract - Encourages the participation in school breakfast and summer lunch programs as a means of capitalizing on the link between nutrition and improved academic performance.), (BillHistory - 03/26/2002 INTRODUCED.;03/26/2002 To HOUSE Committee on EDUCATION.;03/28/2002 Rules suspended.;03/28/2002 Passed HOUSE. *****To SENATE.;04/18/2002 Passed SENATE.)",1,LEG,001NUT,001AHF,004SAS,101,"(39.008830667, -75.577741168)"
2011,1,FL,Florida,Obesity,Appropriations,Community,Growth Management,Dead,H1427,3,"(Abstract - Revises and provides definitions relating to Local Government Comprehensive Planning and Land Development Regulation Act, revises requirements for comprehensive plans relating to capital improvements and future land use plan elements, revises transportation concurrency requirements relating to transportation planning and proportionate share, revises definition of term transportation concurrency backlog. The future land use element shall include criteria that encourage the location of schools proximate to urban residential areas and requires that the local government seek to collocate public facilities, such as parks and libraries. The transportation element promotes compact, mixed-use, and interconnected development served by a multimodal transportation system that includes roads, bicycle and pedestrian facilities, and frequent transit and rail service.   ), (BillHistory - 03/08/2011 - INTRODUCED.;03/14/2011 - To HOUSE Committee on COMMUNITY AND MILITARY AFFAIRS  SUBCOMMITTEE.;03/14/2011 - Referred to HOUSE Committee on ECONOMIC AFFAIRS.;05/07/2011 - In HOUSE.  Indefinitely postponed and withdrawn from consideration.;05/07/2011 - In HOUSE.  Died in committee.)",28,LEG,002OB,002APP,002COM,3677,"(28.932040377, -81.928960539)"
